subj	subexpt	semint	related	n2num	errnd	errd	errcornd	errcord
1	Prop	unint	assoc	plur	0	0	2	2
1	Prop	unint	assoc	sing	0	0	2	3
1	Prop	unint	rel	plur	0	0	3	3
1	Prop	unint	rel	sing	0	0	3	3
1	Prop	unint	unrel	plur	0	0	2	2
1	Prop	unint	unrel	sing	0	0	1	1
2	Prop	unint	assoc	plur	1	1	3	4
2	Prop	unint	assoc	sing	0	0	3	4
2	Prop	unint	rel	plur	0	0	1	3
2	Prop	unint	rel	sing	0	0	4	4
2	Prop	unint	unrel	plur	0	0	3	3
2	Prop	unint	unrel	sing	0	0	4	4
3	Prop	unint	assoc	plur	0	0	2	3
3	Prop	unint	assoc	sing	0	0	4	4
3	Prop	unint	rel	plur	0	0	2	2
3	Prop	unint	rel	sing	0	0	2	2
3	Prop	unint	unrel	plur	0	0	3	3
3	Prop	unint	unrel	sing	0	0	2	2
4	Prop	unint	assoc	plur	0	0	2	2
4	Prop	unint	assoc	sing	0	0	0	1
4	Prop	unint	rel	plur	0	0	4	4
4	Prop	unint	rel	sing	0	0	3	3
4	Prop	unint	unrel	plur	0	0	2	3
4	Prop	unint	unrel	sing	0	0	4	4
5	Prop	unint	assoc	plur	2	2	3	4
5	Prop	unint	assoc	sing	0	0	3	3
5	Prop	unint	rel	plur	0	0	2	2
5	Prop	unint	rel	sing	0	0	2	2
5	Prop	unint	unrel	plur	0	0	2	2
5	Prop	unint	unrel	sing	0	0	3	3
6	Prop	unint	assoc	plur	2	2	3	3
6	Prop	unint	assoc	sing	0	0	2	2
6	Prop	unint	rel	plur	1	1	2	2
6	Prop	unint	rel	sing	0	0	4	4
6	Prop	unint	unrel	plur	0	0	4	4
6	Prop	unint	unrel	sing	0	0	4	4
7	Prop	unint	assoc	plur	2	2	3	3
7	Prop	unint	assoc	sing	0	0	3	3
7	Prop	unint	rel	plur	2	2	3	3
7	Prop	unint	rel	sing	0	0	4	4
7	Prop	unint	unrel	plur	1	1	2	2
7	Prop	unint	unrel	sing	0	0	3	3
8	Prop	unint	assoc	plur	0	0	2	3
8	Prop	unint	assoc	sing	0	0	3	3
8	Prop	unint	rel	plur	0	0	4	4
8	Prop	unint	rel	sing	0	0	4	4
8	Prop	unint	unrel	plur	0	0	3	3
8	Prop	unint	unrel	sing	0	0	3	3
9	Prop	unint	assoc	plur	0	0	4	4
9	Prop	unint	assoc	sing	0	0	4	4
9	Prop	unint	rel	plur	0	0	3	4
9	Prop	unint	rel	sing	0	0	4	4
9	Prop	unint	unrel	plur	0	0	1	1
9	Prop	unint	unrel	sing	0	0	3	3
10	Prop	unint	assoc	plur	0	0	2	3
10	Prop	unint	assoc	sing	0	0	2	2
10	Prop	unint	rel	plur	0	0	2	2
10	Prop	unint	rel	sing	0	0	1	1
10	Prop	unint	unrel	plur	0	0	3	3
10	Prop	unint	unrel	sing	0	0	0	0
11	Prop	unint	assoc	plur	0	0	2	3
11	Prop	unint	assoc	sing	0	0	1	2
11	Prop	unint	rel	plur	0	0	0	0
11	Prop	unint	rel	sing	0	0	0	1
11	Prop	unint	unrel	plur	0	0	3	3
11	Prop	unint	unrel	sing	0	0	0	1
12	Prop	unint	assoc	plur	0	0	4	4
12	Prop	unint	assoc	sing	0	0	3	3
12	Prop	unint	rel	plur	1	1	3	3
12	Prop	unint	rel	sing	0	0	4	4
12	Prop	unint	unrel	plur	0	0	4	4
12	Prop	unint	unrel	sing	0	0	1	3
13	Prop	unint	assoc	plur	1	1	3	3
13	Prop	unint	assoc	sing	0	0	3	3
13	Prop	unint	rel	plur	0	0	2	2
13	Prop	unint	rel	sing	0	0	4	4
13	Prop	unint	unrel	plur	1	1	3	3
13	Prop	unint	unrel	sing	0	0	4	4
14	Prop	unint	assoc	plur	0	0	2	2
14	Prop	unint	assoc	sing	0	0	3	4
14	Prop	unint	rel	plur	0	0	3	3
14	Prop	unint	rel	sing	0	0	4	4
14	Prop	unint	unrel	plur	0	0	4	4
14	Prop	unint	unrel	sing	0	0	2	2
15	Prop	unint	assoc	plur	0	0	1	2
15	Prop	unint	assoc	sing	0	0	3	3
15	Prop	unint	rel	plur	0	0	3	3
15	Prop	unint	rel	sing	0	0	4	4
15	Prop	unint	unrel	plur	0	0	3	3
15	Prop	unint	unrel	sing	0	0	1	1
16	Prop	unint	assoc	plur	0	0	2	2
16	Prop	unint	assoc	sing	0	0	4	4
16	Prop	unint	rel	plur	0	0	3	3
16	Prop	unint	rel	sing	0	0	3	3
16	Prop	unint	unrel	plur	0	0	3	3
16	Prop	unint	unrel	sing	0	0	2	2
17	Prop	unint	assoc	plur	0	0	3	3
17	Prop	unint	assoc	sing	0	0	4	4
17	Prop	unint	rel	plur	1	1	4	4
17	Prop	unint	rel	sing	0	0	2	2
17	Prop	unint	unrel	plur	1	1	3	3
17	Prop	unint	unrel	sing	0	0	3	3
18	Prop	unint	assoc	plur	0	0	4	4
18	Prop	unint	assoc	sing	0	0	1	2
18	Prop	unint	rel	plur	0	0	4	4
18	Prop	unint	rel	sing	0	0	1	1
18	Prop	unint	unrel	plur	0	0	3	3
18	Prop	unint	unrel	sing	0	0	3	4
19	Prop	unint	assoc	plur	0	0	4	4
19	Prop	unint	assoc	sing	0	0	2	3
19	Prop	unint	rel	plur	0	0	4	4
19	Prop	unint	rel	sing	0	0	2	2
19	Prop	unint	unrel	plur	0	0	3	4
19	Prop	unint	unrel	sing	0	0	3	3
20	Prop	unint	assoc	plur	0	0	1	3
20	Prop	unint	assoc	sing	0	0	1	2
20	Prop	unint	rel	plur	0	1	0	1
20	Prop	unint	rel	sing	0	0	3	4
20	Prop	unint	unrel	plur	0	0	1	2
20	Prop	unint	unrel	sing	1	1	2	3
21	Prop	unint	assoc	plur	0	0	3	4
21	Prop	unint	assoc	sing	0	0	4	4
21	Prop	unint	rel	plur	0	0	3	3
21	Prop	unint	rel	sing	0	0	4	4
21	Prop	unint	unrel	plur	0	0	3	3
21	Prop	unint	unrel	sing	0	0	4	4
22	Prop	unint	assoc	plur	0	0	0	2
22	Prop	unint	assoc	sing	0	0	3	3
22	Prop	unint	rel	plur	0	0	0	1
22	Prop	unint	rel	sing	0	0	2	3
22	Prop	unint	unrel	plur	0	0	2	3
22	Prop	unint	unrel	sing	0	0	1	3
23	Prop	unint	assoc	plur	0	0	4	4
23	Prop	unint	assoc	sing	0	0	3	4
23	Prop	unint	rel	plur	0	0	0	0
23	Prop	unint	rel	sing	0	0	0	0
23	Prop	unint	unrel	plur	0	0	1	2
23	Prop	unint	unrel	sing	0	0	2	2
24	Prop	unint	assoc	plur	0	0	1	1
24	Prop	unint	assoc	sing	0	0	3	3
24	Prop	unint	rel	plur	0	0	2	2
24	Prop	unint	rel	sing	0	0	3	3
24	Prop	unint	unrel	plur	0	0	2	2
24	Prop	unint	unrel	sing	0	0	2	2
25	Prop	unint	assoc	plur	1	1	2	2
25	Prop	unint	assoc	sing	0	0	1	2
25	Prop	unint	rel	plur	0	0	2	2
25	Prop	unint	rel	sing	0	0	4	4
25	Prop	unint	unrel	plur	0	0	1	2
25	Prop	unint	unrel	sing	0	0	3	3
26	Prop	unint	assoc	plur	0	0	0	1
26	Prop	unint	assoc	sing	0	0	1	2
26	Prop	unint	rel	plur	0	0	0	0
26	Prop	unint	rel	sing	0	0	0	1
26	Prop	unint	unrel	plur	0	0	0	0
26	Prop	unint	unrel	sing	0	0	0	1
27	Prop	unint	assoc	plur	0	0	3	3
27	Prop	unint	assoc	sing	1	1	3	3
27	Prop	unint	rel	plur	0	0	2	2
27	Prop	unint	rel	sing	0	0	4	4
27	Prop	unint	unrel	plur	0	0	4	4
27	Prop	unint	unrel	sing	0	0	2	2
28	Prop	unint	assoc	plur	0	1	1	2
28	Prop	unint	assoc	sing	0	0	1	1
28	Prop	unint	rel	plur	0	0	2	2
28	Prop	unint	rel	sing	0	0	0	0
28	Prop	unint	unrel	plur	0	0	1	1
28	Prop	unint	unrel	sing	0	0	1	2
29	Prop	unint	assoc	plur	0	0	3	3
29	Prop	unint	assoc	sing	0	0	3	3
29	Prop	unint	rel	plur	0	0	2	2
29	Prop	unint	rel	sing	0	0	1	1
29	Prop	unint	unrel	plur	0	0	1	1
29	Prop	unint	unrel	sing	0	0	3	3
30	Prop	unint	assoc	plur	1	1	3	3
30	Prop	unint	assoc	sing	0	0	3	3
30	Prop	unint	rel	plur	0	0	1	1
30	Prop	unint	rel	sing	0	0	3	3
30	Prop	unint	unrel	plur	0	0	4	4
30	Prop	unint	unrel	sing	0	0	2	2
32	Prop	unint	assoc	plur	0	0	3	3
32	Prop	unint	assoc	sing	0	0	4	4
32	Prop	unint	rel	plur	0	0	2	2
32	Prop	unint	rel	sing	0	0	1	1
32	Prop	unint	unrel	plur	0	0	3	3
32	Prop	unint	unrel	sing	0	0	3	3
33	Prop	unint	assoc	plur	0	0	0	2
33	Prop	unint	assoc	sing	0	0	1	1
33	Prop	unint	rel	plur	0	0	3	3
33	Prop	unint	rel	sing	0	0	2	2
33	Prop	unint	unrel	plur	0	0	4	4
33	Prop	unint	unrel	sing	0	0	0	0
34	Prop	unint	assoc	plur	0	0	2	2
34	Prop	unint	assoc	sing	0	0	3	3
