item subexp related n2num errwod errd errcornd errcord list
25 Prop assoc plur 5 5 15 15 1
25 Prop assoc sing 0 0 17 19 2
25 Prop rel plur 1 1 13 13 5
25 Prop rel sing 0 0 9 10 6
25 Prop unrel plur 0 0 13 13 3
25 Prop unrel sing 0 0 14 16 4
26 Prop assoc plur 0 0 7 7 1
26 Prop assoc sing 0 0 11 14 2
26 Prop rel plur 0 0 10 10 5
26 Prop rel sing 0 0 15 15 6
26 Prop unrel plur 0 0 13 13 3
26 Prop unrel sing 0 0 15 16 4
27 Prop assoc plur 3 3 19 19 1
27 Prop assoc sing 0 0 16 18 2
27 Prop rel plur 1 1 14 14 5
27 Prop rel sing 0 0 20 20 6
27 Prop unrel plur 0 0 17 17 3
27 Prop unrel sing 0 0 16 18 4
28 Prop assoc plur 3 3 17 18 1
28 Prop assoc sing 0 0 19 19 2
28 Prop rel plur 0 0 16 16 5
28 Prop rel sing 0 0 11 11 6
28 Prop unrel plur 0 0 12 14 3
28 Prop unrel sing 0 0 11 12 4
29 Prop assoc plur 0 0 16 18 2
29 Prop assoc sing 1 1 16 17 3
29 Prop rel plur 1 1 15 15 6
29 Prop rel sing 0 0 13 13 1
29 Prop unrel plur 0 0 17 18 4
29 Prop unrel sing 0 0 15 16 5
30 Prop assoc plur 0 0 14 17 2
30 Prop assoc sing 0 0 15 15 3
30 Prop rel plur 0 0 12 13 6
30 Prop rel sing 0 0 17 17 1
30 Prop unrel plur 0 0 18 19 4
30 Prop unrel sing 0 0 17 18 5
31 Prop assoc plur 1 1 11 13 2
31 Prop assoc sing 0 0 14 15 3
31 Prop rel plur 0 0 5 7 6
31 Prop rel sing 0 0 10 10 1
31 Prop unrel plur 0 0 11 13 4
31 Prop unrel sing 0 0 6 7 5
32 Prop assoc plur 2 2 14 15 2
32 Prop assoc sing 0 0 12 14 3
32 Prop rel plur 2 2 19 19 6
32 Prop rel sing 0 0 16 17 1
32 Prop unrel plur 0 0 17 17 4
32 Prop unrel sing 0 0 17 17 5
33 Prop assoc plur 0 0 13 14 3
33 Prop assoc sing 0 0 13 14 4
33 Prop rel plur 1 1 15 17 1
33 Prop rel sing 0 0 14 15 2
33 Prop unrel plur 0 0 10 10 5
33 Prop unrel sing 0 0 14 14 6
34 Prop assoc plur 1 1 12 13 3
34 Prop assoc sing 1 1 16 16 4
34 Prop rel plur 2 2 14 14 1
34 Prop rel sing 0 0 13 16 2
34 Prop unrel plur 0 0 16 18 5
34 Prop unrel sing 0 0 17 18 6
35 Prop assoc plur 2 2 8 10 3
35 Prop assoc sing 0 0 15 16 4
35 Prop rel plur 0 1 8 9 1
35 Prop rel sing 0 0 15 15 2
35 Prop unrel plur 1 1 12 12 5
35 Prop unrel sing 0 0 12 12 6
36 Prop assoc plur 1 1 10 13 3
36 Prop assoc sing 0 0 16 16 4
36 Prop rel plur 1 2 10 13 1
36 Prop rel sing 0 0 12 12 2
36 Prop unrel plur 1 1 10 11 5
36 Prop unrel sing 0 0 13 15 6
37 Prop assoc plur 0 0 8 8 4
37 Prop assoc sing 0 0 7 8 5
37 Prop rel plur 1 1 5 5 2
37 Prop rel sing 0 0 11 11 3
37 Prop unrel plur 0 0 13 14 6
37 Prop unrel sing 1 1 10 11 1
38 Prop assoc plur 0 1 12 14 4
38 Prop assoc sing 0 0 16 18 5
38 Prop rel plur 1 1 11 14 2
38 Prop rel sing 0 0 11 12 3
38 Prop unrel plur 1 1 16 19 6
38 Prop unrel sing 0 0 17 18 1
39 Prop assoc plur 2 3 13 15 4
39 Prop assoc sing 0 0 15 15 5
39 Prop rel plur 1 2 12 16 2
39 Prop rel sing 0 0 10 11 3
39 Prop unrel plur 0 0 13 13 6
39 Prop unrel sing 0 0 16 16 1
40 Prop assoc plur 1 1 16 17 4
40 Prop assoc sing 0 0 14 14 5
40 Prop rel plur 0 0 16 17 2
40 Prop rel sing 0 0 15 15 3
40 Prop unrel plur 1 1 16 16 6
40 Prop unrel sing 0 0 10 10 1
41 Prop assoc plur 0 0 15 16 5
41 Prop assoc sing 0 0 20 20 6
41 Prop rel plur 0 0 18 18 3
41 Prop rel sing 0 0 19 19 4
41 Prop unrel plur 0 0 15 16 1
41 Prop unrel sing 0 0 18 19 2
42 Prop assoc plur 3 4 14 16 5
42 Prop assoc sing 0 0 10 10 6
42 Prop rel plur 2 2 7 8 3
42 Prop rel sing 0 0 12 13 4
42 Prop unrel plur 1 1 9 10 1
42 Prop unrel sing 0 0 12 12 2
43 Prop assoc plur 2 2 14 17 5
43 Prop assoc sing 0 0 16 18 6
43 Prop rel plur 0 0 14 15 3
43 Prop rel sing 0 0 14 14 4
43 Prop unrel plur 2 2 13 13 1
43 Prop unrel sing 1 1 17 18 2
44 Prop assoc plur 0 0 11 12 5
44 Prop assoc sing 0 0 12 12 6
44 Prop rel plur 0 0 7 8 3
44 Prop rel sing 0 0 10 11 4
44 Prop unrel plur 0 0 15 15 1
44 Prop unrel sing 0 0 13 13 2
45 Prop assoc plur 0 1 14 15 6
45 Prop assoc sing 0 0 15 16 1
45 Prop rel plur 0 0 15 16 4
45 Prop rel sing 0 0 15 16 5
