S	subexp	related	n2num	end	errd	cnd	errcord
1	Cat	rel	plur	0	0	3	3
2	Cat	rel	plur	1	1	4	4
3	Cat	rel	plur	0	0	4	4
4	Cat	rel	plur	0	0	5	5
5	Cat	rel	plur	0	0	3	3
6	Cat	rel	plur	0	0	2	2
7	Cat	rel	plur	0	0	6	6
8	Cat	rel	plur	0	0	4	4
9	Cat	rel	plur	0	0	5	5
10	Cat	rel	plur	0	0	4	4
11	Cat	rel	plur	0	1	3	5
12	Cat	rel	plur	0	0	3	3
13	Cat	rel	plur	1	1	4	4
14	Cat	rel	plur	0	0	3	3
15	Cat	rel	plur	0	0	2	2
16	Cat	rel	plur	0	0	3	4
17	Cat	rel	plur	0	0	3	3
18	Cat	rel	plur	0	0	6	6
19	Cat	rel	plur	1	1	6	6
20	Cat	rel	plur	0	0	0	5
21	Cat	rel	plur	0	0	5	5
22	Cat	rel	plur	0	0	3	5
23	Cat	rel	plur	0	0	1	2
24	Cat	rel	plur	0	0	5	5
25	Cat	rel	plur	2	2	4	4
26	Cat	rel	plur	0	0	1	2
27	Cat	rel	plur	0	0	2	2
28	Cat	rel	plur	0	0	1	2
29	Cat	rel	plur	0	0	2	2
30	Cat	rel	plur	0	0	2	2
32	Cat	rel	plur	0	0	5	5
33	Cat	rel	plur	0	0	1	1
34	Cat	rel	plur	0	0	3	3
35	Cat	rel	plur	0	0	2	2
36	Cat	rel	plur	0	0	0	0
37	Cat	rel	plur	0	0	5	5
38	Cat	rel	plur	0	0	1	1
39	Cat	rel	plur	0	0	4	4
40	Cat	rel	plur	0	0	6	6
41	Cat	rel	plur	0	0	3	4
42	Cat	rel	plur	0	0	3	3
43	Cat	rel	plur	1	1	5	5
44	Cat	rel	plur	0	0	3	3
46	Cat	rel	plur	1	1	2	2
47	Cat	rel	plur	0	0	3	3
48	Cat	rel	plur	0	0	4	4
49	Cat	rel	plur	0	0	1	1
50	Cat	rel	plur	0	0	2	2
51	Cat	rel	plur	0	0	2	2
52	Cat	rel	plur	0	0	4	5
53	Cat	rel	plur	0	0	5	6
54	Cat	rel	plur	0	0	1	1
55	Cat	rel	plur	0	0	5	5
56	Cat	rel	plur	0	0	4	5
57	Cat	rel	plur	1	2	3	4
58	Cat	rel	plur	0	0	2	2
59	Cat	rel	plur	0	0	4	4
60	Cat	rel	plur	0	0	4	4
61	Cat	rel	plur	1	1	3	3
62	Cat	rel	plur	0	0	2	2
63	Cat	rel	plur	0	0	4	4
64	Cat	rel	plur	0	0	2	3
65	Cat	rel	plur	0	0	1	1
66	Cat	rel	plur	0	0	5	5
67	Cat	rel	plur	0	0	3	3
68	Cat	rel	plur	0	0	3	3
69	Cat	rel	plur	0	0	5	5
70	Cat	rel	plur	1	1	2	2
71	Cat	rel	plur	2	2	4	4
