S	subexp	related	n2num	end	errd	cnd	errcord	list
1	Prop	assoc	plur	0	0	2	2	1
2	Prop	assoc	plur	1	1	3	4	2
3	Prop	assoc	plur	0	0	2	3	3
4	Prop	assoc	plur	0	0	2	2	4
5	Prop	assoc	plur	2	2	3	4	5
6	Prop	assoc	plur	2	2	3	3	6
7	Prop	assoc	plur	2	2	3	3	1
8	Prop	assoc	plur	0	0	2	3	2
9	Prop	assoc	plur	0	0	4	4	3
10	Prop	assoc	plur	0	0	2	3	4
11	Prop	assoc	plur	0	0	2	3	5
12	Prop	assoc	plur	0	0	4	4	6
13	Prop	assoc	plur	1	1	3	3	1
14	Prop	assoc	plur	0	0	2	2	2
15	Prop	assoc	plur	0	0	1	2	3
16	Prop	assoc	plur	0	0	2	2	4
17	Prop	assoc	plur	0	0	3	3	5
18	Prop	assoc	plur	0	0	4	4	6
19	Prop	assoc	plur	0	0	4	4	1
20	Prop	assoc	plur	0	0	1	3	2
21	Prop	assoc	plur	0	0	3	4	3
22	Prop	assoc	plur	0	0	0	2	4
23	Prop	assoc	plur	0	0	4	4	5
24	Prop	assoc	plur	0	0	1	1	6
25	Prop	assoc	plur	1	1	2	2	1
26	Prop	assoc	plur	0	0	0	1	2
27	Prop	assoc	plur	0	0	3	3	3
28	Prop	assoc	plur	0	1	1	2	4
29	Prop	assoc	plur	0	0	3	3	5
30	Prop	assoc	plur	1	1	3	3	6
32	Prop	assoc	plur	0	0	3	3	2
33	Prop	assoc	plur	0	0	0	2	3
34	Prop	assoc	plur	0	0	2	2	4
35	Prop	assoc	plur	0	0	2	2	5
36	Prop	assoc	plur	0	0	0	0	6
37	Prop	assoc	plur	2	2	4	4	1
38	Prop	assoc	plur	1	1	2	2	2
39	Prop	assoc	plur	1	1	3	4	3
40	Prop	assoc	plur	0	0	3	3	4
41	Prop	assoc	plur	0	0	3	3	5
42	Prop	assoc	plur	1	1	4	4	6
43	Prop	assoc	plur	2	2	2	2	1
44	Prop	assoc	plur	0	0	2	2	2
46	Prop	assoc	plur	0	0	3	3	4
47	Prop	assoc	plur	0	1	2	3	5
48	Prop	assoc	plur	0	0	2	2	6
49	Prop	assoc	plur	0	0	1	1	1
50	Prop	assoc	plur	0	0	1	1	2
51	Prop	assoc	plur	1	1	2	2	3
52	Prop	assoc	plur	0	0	4	4	4
53	Prop	assoc	plur	1	1	4	4	5
54	Prop	assoc	plur	0	0	2	2	6
55	Prop	assoc	plur	0	0	4	4	1
56	Prop	assoc	plur	0	0	4	4	2
57	Prop	assoc	plur	0	0	4	4	3
58	Prop	assoc	plur	0	0	2	2	4
59	Prop	assoc	plur	0	0	4	4	5
60	Prop	assoc	plur	0	0	0	0	6
61	Prop	assoc	plur	0	0	2	2	1
62	Prop	assoc	plur	1	1	2	3	2
63	Prop	assoc	plur	0	0	3	3	3
64	Prop	assoc	plur	1	1	4	4	4
65	Prop	assoc	plur	0	0	0	0	5
66	Prop	assoc	plur	0	0	2	2	6
67	Prop	assoc	plur	0	0	2	2	1
68	Prop	assoc	plur	0	0	3	3	2
69	Prop	assoc	plur	1	1	4	4	3
70	Prop	assoc	plur	1	1	3	3	4
71	Prop	assoc	plur	0	0	1	1	5
72	Prop	assoc	plur	0	0	0	0	6
73	Prop	assoc	plur	0	0	3	3	1
74	Prop	assoc	plur	0	0	4	4	2
75	Prop	assoc	plur	0	0	0	0	3
