subj subexpt semint related n2num errnd errd errcornd errcord list
1 SemRel integ rel plur 0 0 1 1 1
1 SemRel integ rel sing 0 0 1 2 1
1 SemRel integ unrel plur 0 0 2 2 1
1 SemRel integ unrel sing 0 0 2 2 1
1 SemRel unint rel plur 0 0 1 1 1
1 SemRel unint rel sing 0 0 2 2 1
1 SemRel unint unrel plur 0 0 1 2 1
1 SemRel unint unrel sing 0 0 1 1 1
2 SemRel integ rel plur 1 1 1 3 2
2 SemRel integ rel sing 0 0 0 0 2
2 SemRel integ unrel plur 0 0 0 0 2
2 SemRel integ unrel sing 0 0 2 2 2
2 SemRel unint rel plur 0 0 0 0 2
2 SemRel unint rel sing 0 0 1 2 2
2 SemRel unint unrel plur 0 0 0 1 2
2 SemRel unint unrel sing 0 0 0 1 2
3 SemRel integ rel plur 0 0 0 1 3
3 SemRel integ rel sing 0 0 2 2 3
3 SemRel integ unrel plur 0 0 1 2 3
3 SemRel integ unrel sing 0 0 1 2 3
3 SemRel unint rel plur 0 0 2 2 3
3 SemRel unint rel sing 0 0 1 1 3
3 SemRel unint unrel plur 0 0 1 3 3
3 SemRel unint unrel sing 0 0 2 2 3
4 SemRel integ rel plur 0 0 2 2 4
4 SemRel integ rel sing 0 0 1 2 4
4 SemRel integ unrel plur 0 0 3 3 4
4 SemRel integ unrel sing 0 0 1 2 4
4 SemRel unint rel plur 0 0 0 1 4
4 SemRel unint rel sing 0 0 3 3 4
4 SemRel unint unrel plur 0 0 2 2 4
4 SemRel unint unrel sing 0 0 2 2 4
5 SemRel integ rel plur 1 1 1 1 5
5 SemRel integ rel sing 0 0 0 1 5
5 SemRel integ unrel plur 0 0 0 0 5
5 SemRel integ unrel sing 0 0 3 3 5
5 SemRel unint rel plur 0 0 1 2 5
5 SemRel unint rel sing 0 0 3 3 5
5 SemRel unint unrel plur 0 0 1 1 5
5 SemRel unint unrel sing 0 0 2 2 5
6 SemRel integ rel plur 0 0 1 1 6
6 SemRel integ rel sing 0 0 1 2 6
6 SemRel integ unrel plur 0 0 1 2 6
6 SemRel integ unrel sing 0 0 0 1 6
6 SemRel unint rel plur 0 0 0 1 6
6 SemRel unint rel sing 0 0 1 3 6
6 SemRel unint unrel plur 0 0 2 2 6
6 SemRel unint unrel sing 0 0 1 1 6
7 SemRel integ rel plur 0 0 0 0 7
7 SemRel integ rel sing 0 0 1 1 7
7 SemRel integ unrel plur 0 0 0 1 7
7 SemRel integ unrel sing 0 0 0 1 7
7 SemRel unint rel plur 0 0 0 1 7
7 SemRel unint rel sing 0 0 1 1 7
7 SemRel unint unrel plur 0 0 0 1 7
7 SemRel unint unrel sing 0 0 1 2 7
8 SemRel integ rel plur 0 0 3 3 8
8 SemRel integ rel sing 0 0 3 3 8
8 SemRel integ unrel plur 0 0 2 2 8
8 SemRel integ unrel sing 0 0 2 3 8
8 SemRel unint rel plur 0 0 3 3 8
8 SemRel unint rel sing 0 0 3 3 8
8 SemRel unint unrel plur 0 0 3 3 8
8 SemRel unint unrel sing 0 0 2 2 8
9 SemRel integ rel plur 0 0 1 1 1
9 SemRel integ rel sing 0 0 2 2 1
9 SemRel integ unrel plur 0 0 2 2 1
9 SemRel integ unrel sing 0 0 0 0 1
9 SemRel unint rel plur 0 0 1 1 1
9 SemRel unint rel sing 0 0 2 2 1
9 SemRel unint unrel plur 0 0 1 1 1
9 SemRel unint unrel sing 0 0 1 1 1
10 SemRel integ rel plur 0 0 2 3 2
10 SemRel integ rel sing 0 0 1 1 2
10 SemRel integ unrel plur 0 0 1 1 2
10 SemRel integ unrel sing 0 0 2 2 2
10 SemRel unint rel plur 0 0 1 1 2
10 SemRel unint rel sing 0 0 2 2 2
10 SemRel unint unrel plur 0 0 2 2 2
10 SemRel unint unrel sing 0 0 0 2 2
11 SemRel integ rel plur 0 0 1 1 3
11 SemRel integ rel sing 0 0 2 2 3
11 SemRel integ unrel plur 0 0 2 2 3
11 SemRel integ unrel sing 0 0 3 3 3
11 SemRel unint rel plur 0 0 0 0 3
11 SemRel unint rel sing 0 0 0 0 3
11 SemRel unint unrel plur 0 0 0 0 3
11 SemRel unint unrel sing 0 0 2 3 3
12 SemRel integ rel plur 0 0 2 2 4
12 SemRel integ rel sing 0 0 2 2 4
12 SemRel integ unrel plur 0 0 3 3 4
12 SemRel integ unrel sing 0 0 2 3 4
12 SemRel unint rel plur 0 0 2 3 4
12 SemRel unint rel sing 0 0 2 2 4
12 SemRel unint unrel plur 0 0 1 1 4
12 SemRel unint unrel sing 0 0 2 2 4
13 SemRel integ rel plur 0 0 2 2 5
13 SemRel integ rel sing 0 0 0 0 5
13 SemRel integ unrel plur 0 0 1 1 5
13 SemRel integ unrel sing 0 0 1 1 5
13 SemRel unint rel plur 1 1 1 1 5
13 SemRel unint rel sing 0 0 3 3 5
13 SemRel unint unrel plur 0 0 0 0 5
13 SemRel unint unrel sing 0 0 0 0 5
14 SemRel integ rel plur 0 0 1 1 6
14 SemRel integ rel sing 0 0 0 1 6
14 SemRel integ unrel plur 0 0 0 0 6
14 SemRel integ unrel sing 0 0 0 0 6
14 SemRel unint rel plur 0 0 2 2 6
14 SemRel unint rel sing 0 0 0 0 6
14 SemRel unint unrel plur 0 0 1 1 6
14 SemRel unint unrel sing 0 0 2 2 6
15 SemRel integ rel plur 0 0 1 2 7
15 SemRel integ rel sing 0 0 0 1 7
15 SemRel integ unrel plur 0 0 1 2 7
15 SemRel integ unrel sing 0 0 2 2 7
15 SemRel unint rel plur 0 0 1 1 7
15 SemRel unint rel sing 0 0 1 2 7
15 SemRel unint unrel plur 0 0 0 0 7
15 SemRel unint unrel sing 0 0 1 2 7
16 SemRel integ rel plur 0 0 1 2 8
16 SemRel integ rel sing 0 0 2 2 8
16 SemRel integ unrel plur 0 0 0 2 8
16 SemRel integ unrel sing 0 0 2 2 8
16 SemRel unint rel plur 0 0 1 2 8
16 SemRel unint rel sing 0 0 1 1 8
16 SemRel unint unrel plur 0 0 2 2 8
16 SemRel unint unrel sing 0 0 1 2 8
17 SemRel integ rel plur 0 0 3 3 1
17 SemRel integ rel sing 0 0 2 2 1
17 SemRel integ unrel plur 0 0 1 1 1
17 SemRel integ unrel sing 0 0 0 1 1
17 SemRel unint rel plur 0 0 1 1 1
17 SemRel unint rel sing 0 0 1 1 1
17 SemRel unint unrel plur 0 0 0 1 1
17 SemRel unint unrel sing 0 0 1 1 1
18 SemRel integ rel plur 0 0 3 3 2
18 SemRel integ rel sing 0 0 1 2 2
18 SemRel integ unrel plur 1 1 1 1 2
18 SemRel integ unrel sing 0 0 0 0 2
18 SemRel unint rel plur 0 0 0 0 2
18 SemRel unint rel sing 0 0 2 2 2
18 SemRel unint unrel plur 0 0 2 2 2
18 SemRel unint unrel sing 0 0 2 2 2
19 SemRel integ rel plur 0 0 2 2 3
