item subexp semint related n2num errwod	errd errcornd errcord list
1 SemRel nullrelated integ plur 9 11 43 47 4
1 SemRel nullrelated integ sing 0 0 42 44 3
1 SemRel nullrelated unint plur 6 6 39 40 8
1 SemRel nullrelated unint sing 0 0 32 38 7
2 SemRel nullrelated integ plur 2 3 46 50 4
2 SemRel nullrelated integ sing 0 0 45 46 3
2 SemRel nullrelated unint plur 1 1 32 33 8
2 SemRel nullrelated unint sing 0 0 30 36 7
3 SemRel nullrelated integ plur 2 2 32 37 4
3 SemRel nullrelated integ sing 0 0 31 32 3
3 SemRel nullrelated unint plur 2 2 28 33 8
3 SemRel nullrelated unint sing 0 1 32 36 7
4 SemRel nullrelated integ plur 1 1 24 25 3
4 SemRel nullrelated integ sing 0 0 17 22 4
4 SemRel nullrelated unint plur 1 1 16 19 1
4 SemRel nullrelated unint sing 0 0 14 18 8
5 SemRel nullrelated integ plur 0 0 29 31 3
5 SemRel nullrelated integ sing 0 0 23 25 4
5 SemRel nullrelated unint plur 2 2 31 36 1
5 SemRel nullrelated unint sing 0 0 20 25 8
6 SemRel nullrelated integ plur 0 0 22 26 3
6 SemRel nullrelated integ sing 0 0 24 28 4
6 SemRel nullrelated unint plur 1 1 34 38 1
6 SemRel nullrelated unint sing 0 0 27 28 8
7 SemRel nullrelated integ plur 1 1 33 38 4
7 SemRel nullrelated integ sing 0 0 36 37 3
7 SemRel nullrelated unint plur 0 1 30 35 2
7 SemRel nullrelated unint sing 0 0 28 31 1
8 SemRel nullrelated integ plur 2 2 39 41 4
8 SemRel nullrelated integ sing 0 0 32 33 3
8 SemRel nullrelated unint plur 2 2 40 43 2
8 SemRel nullrelated unint sing 0 0 37 38 1
9 SemRel nullrelated integ plur 1 1 16 17 4
9 SemRel nullrelated integ sing 0 0 22 22 3
9 SemRel nullrelated unint plur 0 0 17 18 2
9 SemRel nullrelated unint sing 0 0 22 22 1
10 SemRel nullrelated integ plur 1 2 29 32 7
10 SemRel nullrelated integ sing 0 0 26 27 4
10 SemRel nullrelated unint plur 2 2 24 26 3
10 SemRel nullrelated unint sing 1 1 26 30 2
11 SemRel nullrelated integ plur 5 5 33 39 7
11 SemRel nullrelated integ sing 0 0 38 41 4
11 SemRel nullrelated unint plur 7 7 36 39 3
11 SemRel nullrelated unint sing 0 0 34 38 2
12 SemRel nullrelated integ plur 2 3 18 21 7
12 SemRel nullrelated integ sing 0 0 26 30 4
12 SemRel nullrelated unint plur 2 2 16 18 3
12 SemRel nullrelated unint sing 0 0 16 18 2
13 SemRel nullrelated integ plur 3 3 18 19 8
13 SemRel nullrelated integ sing 0 0 24 28 7
13 SemRel nullrelated unint plur 1 1 23 27 4
13 SemRel nullrelated unint sing 0 0 27 34 3
14 SemRel nullrelated integ plur 1 1 16 21 8
14 SemRel nullrelated integ sing 0 0 19 20 7
14 SemRel nullrelated unint plur 1 1 14 16 4
14 SemRel nullrelated unint sing 0 0 16 18 3
15 SemRel nullrelated integ plur 1 2 30 32 8
15 SemRel nullrelated integ sing 1 1 38 42 7
15 SemRel nullrelated unint plur 1 1 36 38 4
15 SemRel nullrelated unint sing 0 0 43 47 3
16 SemRel nullrelated integ plur 8 10 21 24 1
16 SemRel nullrelated integ sing 0 0 18 21 8
16 SemRel nullrelated unint plur 2 4 32 36 3
16 SemRel nullrelated unint sing 0 0 35 38 4
17 SemRel nullrelated integ plur 0 0 17 17 1
17 SemRel nullrelated integ sing 0 0 17 21 8
17 SemRel nullrelated unint plur 0 0 16 18 3
17 SemRel nullrelated unint sing 0 0 18 19 4
18 SemRel nullrelated integ plur 1 3 36 39 1
18 SemRel nullrelated integ sing 0 0 38 39 8
18 SemRel nullrelated unint plur 2 2 44 46 3
18 SemRel nullrelated unint sing 0 0 52 52 4
19 SemRel nullrelated integ plur 3 4 29 31 2
19 SemRel nullrelated integ sing 0 0 38 41 1
19 SemRel nullrelated unint plur 0 0 31 31 4
19 SemRel nullrelated unint sing 0 0 43 45 3
20 SemRel nullrelated integ plur 2 2 16 19 2
20 SemRel nullrelated integ sing 0 0 24 28 1
20 SemRel nullrelated unint plur 1 1 23 28 4
20 SemRel nullrelated unint sing 0 0 24 26 3
21 SemRel nullrelated integ plur 0 0 12 13 2
21 SemRel nullrelated integ sing 0 0 18 19 1
21 SemRel nullrelated unint plur 1 2 14 19 4
21 SemRel nullrelated unint sing 0 0 14 18 3
22 SemRel nullrelated integ plur 1 1 23 23 3
22 SemRel nullrelated integ sing 0 0 21 23 2
22 SemRel nullrelated unint plur 1 1 18 20 7
22 SemRel nullrelated unint sing 0 0 23 25 4
23 SemRel nullrelated integ plur 0 0 27 29 3
23 SemRel nullrelated integ sing 0 0 25 28 2
23 SemRel nullrelated unint plur 1 2 24 29 7
23 SemRel nullrelated unint sing 0 0 32 36 4
24 SemRel nullrelated integ plur 4 4 39 40 3
24 SemRel nullrelated integ sing 0 0 30 32 2
24 SemRel nullrelated unint plur 2 3 32 33 7
24 SemRel nullrelated unint sing 0 0 32 35 4
