item subexp semint related n2num errwod	errd errcornd errcord list
1 SemRel nullinteg rel plur 14 14 41 43 2
1 SemRel nullinteg rel sing 0 0 39 42 1
1 SemRel nullinteg unrel plur 1 3 41 44 4
1 SemRel nullinteg unrel sing 0 0 35 40 3
2 SemRel nullinteg rel plur 3 3 45 48 2
2 SemRel nullinteg rel sing 0 0 41 44 1
2 SemRel nullinteg unrel plur 0 1 33 35 4
2 SemRel nullinteg unrel sing 0 0 34 38 3
3 SemRel nullinteg rel plur 3 3 34 39 2
3 SemRel nullinteg rel sing 0 0 35 37 1
3 SemRel nullinteg unrel plur 1 1 26 31 4
3 SemRel nullinteg unrel sing 0 1 28 31 3
4 SemRel nullinteg rel plur 1 1 22 24 3
4 SemRel nullinteg rel sing 0 0 15 17 2
4 SemRel nullinteg unrel plur 1 1 18 20 1
4 SemRel nullinteg unrel sing 0 0 16 23 4
5 SemRel nullinteg rel plur 1 1 23 24 3
5 SemRel nullinteg rel sing 0 0 11 15 2
5 SemRel nullinteg unrel plur 1 1 37 43 1
5 SemRel nullinteg unrel sing 0 0 32 35 4
6 SemRel nullinteg rel plur 1 1 31 35 3
6 SemRel nullinteg rel sing 0 0 24 27 2
6 SemRel nullinteg unrel plur 0 0 25 29 1
6 SemRel nullinteg unrel sing 0 0 27 29 4
7 SemRel nullinteg rel plur 0 1 33 38 4
7 SemRel nullinteg rel sing 0 0 35 37 3
7 SemRel nullinteg unrel plur 1 1 30 35 2
7 SemRel nullinteg unrel sing 0 0 29 31 1
8 SemRel nullinteg rel plur 2 2 37 38 4
8 SemRel nullinteg rel sing 0 0 36 36 3
8 SemRel nullinteg unrel plur 2 2 42 46 2
8 SemRel nullinteg unrel sing 0 0 33 35 1
9 SemRel nullinteg rel plur 1 1 17 18 4
9 SemRel nullinteg rel sing 0 0 17 17 3
9 SemRel nullinteg unrel plur 0 0 16 17 2
9 SemRel nullinteg unrel sing 0 0 27 27 1
10 SemRel nullinteg rel plur 2 3 32 34 1
10 SemRel nullinteg rel sing 1 1 29 29 4
10 SemRel nullinteg unrel plur 1 1 21 24 3
10 SemRel nullinteg unrel sing 0 0 23 28 2
11 SemRel nullinteg rel plur 7 7 36 37 1
11 SemRel nullinteg rel sing 0 0 35 39 4
11 SemRel nullinteg unrel plur 5 5 33 41 3
11 SemRel nullinteg unrel sing 0 0 37 40 2
12 SemRel nullinteg rel plur 2 2 12 14 1
12 SemRel nullinteg rel sing 0 0 27 28 4
12 SemRel nullinteg unrel plur 2 3 22 25 3
12 SemRel nullinteg unrel sing 0 0 15 20 2
13 SemRel nullinteg rel plur 0 0 14 18 2
13 SemRel nullinteg rel sing 0 0 24 30 1
13 SemRel nullinteg unrel plur 4 4 27 28 4
13 SemRel nullinteg unrel sing 0 0 27 32 3
14 SemRel nullinteg rel plur 2 2 18 22 2
14 SemRel nullinteg rel sing 0 0 17 17 1
14 SemRel nullinteg unrel plur 0 0 12 15 4
14 SemRel nullinteg unrel sing 0 0 18 21 3
15 SemRel nullinteg rel plur 1 2 32 35 2
15 SemRel nullinteg rel sing 0 0 42 45 1
15 SemRel nullinteg unrel plur 1 1 34 35 4
15 SemRel nullinteg unrel sing 1 1 39 44 3
16 SemRel nullinteg rel plur 6 9 26 31 3
16 SemRel nullinteg rel sing 0 0 24 29 2
16 SemRel nullinteg unrel plur 4 5 27 29 1
16 SemRel nullinteg unrel sing 0 0 29 30 4
17 SemRel nullinteg rel plur 0 0 15 15 3
17 SemRel nullinteg rel sing 0 0 14 18 2
17 SemRel nullinteg unrel plur 0 0 18 20 1
17 SemRel nullinteg unrel sing 0 0 21 22 4
18 SemRel nullinteg rel plur 3 5 39 43 3
18 SemRel nullinteg rel sing 0 0 45 46 2
18 SemRel nullinteg unrel plur 0 0 41 42 1
18 SemRel nullinteg unrel sing 0 0 45 45 4
19 SemRel nullinteg rel plur 1 2 25 27 4
19 SemRel nullinteg rel sing 0 0 40 43 3
19 SemRel nullinteg unrel plur 2 2 35 35 2
19 SemRel nullinteg unrel sing 0 0 41 43 1
20 SemRel nullinteg rel plur 2 2 21 24 4
20 SemRel nullinteg rel sing 0 0 17 18 3
20 SemRel nullinteg unrel plur 1 1 18 23 2
20 SemRel nullinteg unrel sing 0 0 31 36 1
21 SemRel nullinteg rel plur 1 1 11 14 4
21 SemRel nullinteg rel sing 0 0 17 18 3
21 SemRel nullinteg unrel plur 0 1 15 18 2
21 SemRel nullinteg unrel sing 0 0 15 19 1
22 SemRel nullinteg rel plur 2 2 22 24 1
22 SemRel nullinteg rel sing 0 0 23 26 4
22 SemRel nullinteg unrel plur 0 0 19 19 3
22 SemRel nullinteg unrel sing 0 0 21 22 2
23 SemRel nullinteg rel plur 1 1 27 29 1
23 SemRel nullinteg rel sing 0 0 34 37 4
23 SemRel nullinteg unrel plur 0 1 24 29 3
23 SemRel nullinteg unrel sing 0 0 23 27 2
24 SemRel nullinteg rel plur 3 3 34 34 1
24 SemRel nullinteg rel sing 0 0 29 31 4
24 SemRel nullinteg unrel plur 3 4 37 39 3
24 SemRel nullinteg unrel sing 0 0 33 36 2
