S	subexp	semint	related	n2num	end	errd	cnd	errcord	list
1	SemRel	integ	rel	plur	0	0	1	1	1
2	SemRel	integ	rel	plur	1	1	1	3	2
3	SemRel	integ	rel	plur	0	0	0	1	3
4	SemRel	integ	rel	plur	0	0	2	2	4
5	SemRel	integ	rel	plur	1	1	1	1	5
6	SemRel	integ	rel	plur	0	0	1	1	6
7	SemRel	integ	rel	plur	0	0	0	0	7
8	SemRel	integ	rel	plur	0	0	3	3	8
9	SemRel	integ	rel	plur	0	0	1	1	1
10	SemRel	integ	rel	plur	0	0	2	3	2
11	SemRel	integ	rel	plur	0	0	1	1	3
12	SemRel	integ	rel	plur	0	0	2	2	4
13	SemRel	integ	rel	plur	0	0	2	2	5
14	SemRel	integ	rel	plur	0	0	1	1	6
15	SemRel	integ	rel	plur	0	0	1	2	7
16	SemRel	integ	rel	plur	0	0	1	2	8
17	SemRel	integ	rel	plur	0	0	3	3	1
18	SemRel	integ	rel	plur	0	0	3	3	2
19	SemRel	integ	rel	plur	0	0	2	2	3
20	SemRel	integ	rel	plur	0	0	1	2	4
21	SemRel	integ	rel	plur	0	0	3	3	5
22	SemRel	integ	rel	plur	0	0	0	0	6
23	SemRel	integ	rel	plur	1	1	2	2	7
24	SemRel	integ	rel	plur	0	0	1	2	8
25	SemRel	integ	rel	plur	0	0	2	2	1
26	SemRel	integ	rel	plur	0	0	3	3	2
27	SemRel	integ	rel	plur	0	0	1	1	3
28	SemRel	integ	rel	plur	0	0	2	2	4
29	SemRel	integ	rel	plur	0	0	1	1	5
30	SemRel	integ	rel	plur	1	1	2	2	6
31	SemRel	integ	rel	plur	0	0	1	1	7
32	SemRel	integ	rel	plur	0	0	0	0	8
33	SemRel	integ	rel	plur	0	0	2	2	1
34	SemRel	integ	rel	plur	0	0	3	3	2
35	SemRel	integ	rel	plur	0	0	0	0	3
36	SemRel	integ	rel	plur	0	0	2	2	4
37	SemRel	integ	rel	plur	0	0	0	0	5
38	SemRel	integ	rel	plur	0	0	2	2	6
39	SemRel	integ	rel	plur	0	0	1	1	7
40	SemRel	integ	rel	plur	0	0	1	1	8
41	SemRel	integ	rel	plur	0	0	1	1	1
42	SemRel	integ	rel	plur	0	0	3	3	2
43	SemRel	integ	rel	plur	0	0	0	0	3
44	SemRel	integ	rel	plur	0	0	2	2	4
45	SemRel	integ	rel	plur	0	0	1	1	5
46	SemRel	integ	rel	plur	0	0	1	1	6
47	SemRel	integ	rel	plur	0	0	0	0	7
48	SemRel	integ	rel	plur	0	0	0	0	8
49	SemRel	integ	rel	plur	0	0	1	1	1
51	SemRel	integ	rel	plur	0	0	1	1	3
52	SemRel	integ	rel	plur	0	0	1	1	4
53	SemRel	integ	rel	plur	0	0	1	1	5
54	SemRel	integ	rel	plur	0	0	0	0	6
55	SemRel	integ	rel	plur	0	0	1	2	7
56	SemRel	integ	rel	plur	1	1	1	1	8
57	SemRel	integ	rel	plur	0	0	0	0	1
58	SemRel	integ	rel	plur	0	0	1	2	2
59	SemRel	integ	rel	plur	0	0	1	1	3
60	SemRel	integ	rel	plur	0	0	0	0	4
61	SemRel	integ	rel	plur	0	0	0	0	5
62	SemRel	integ	rel	plur	0	0	1	1	6
63	SemRel	integ	rel	plur	0	0	1	1	7
64	SemRel	integ	rel	plur	1	1	1	1	8
65	SemRel	integ	rel	plur	0	0	1	1	1
66	SemRel	integ	rel	plur	1	1	2	2	2
67	SemRel	integ	rel	plur	0	0	2	2	3
68	SemRel	integ	rel	plur	0	0	1	2	4
69	SemRel	integ	rel	plur	0	0	2	2	5
70	SemRel	integ	rel	plur	0	0	1	1	6
71	SemRel	integ	rel	plur	0	0	2	2	7
72	SemRel	integ	rel	plur	0	0	1	1	8
73	SemRel	integ	rel	plur	0	0	1	2	1
74	SemRel	integ	rel	plur	0	0	2	2	2
75	SemRel	integ	rel	plur	0	0	2	2	3
76	SemRel	integ	rel	plur	0	0	1	1	4
77	SemRel	integ	rel	plur	0	0	2	2	5
78	SemRel	integ	rel	plur	0	0	3	3	6
79	SemRel	integ	rel	plur	1	1	1	1	7
80	SemRel	integ	rel	plur	0	0	2	2	8
81	SemRel	integ	rel	plur	0	0	1	1	1
82	SemRel	integ	rel	plur	0	0	3	3	2
83	SemRel	integ	rel	plur	0	0	1	1	3
84	SemRel	integ	rel	plur	0	0	2	2	4
85	SemRel	integ	rel	plur	0	0	0	0	5
86	SemRel	integ	rel	plur	0	0	2	3	6
87	SemRel	integ	rel	plur	0	0	2	2	7
88	SemRel	integ	rel	plur	0	0	1	1	8
89	SemRel	integ	rel	plur	0	0	1	1	1
90	SemRel	integ	rel	plur	0	0	3	3	2
91	SemRel	integ	rel	plur	0	0	1	1	3
92	SemRel	integ	rel	plur	0	0	1	1	4
93	SemRel	integ	rel	plur	0	0	2	2	5
94	SemRel	integ	rel	plur	0	0	1	1	6
95	SemRel	integ	rel	plur	0	0	0	0	7
96	SemRel	integ	rel	plur	0	0	1	1	8
97	SemRel	integ	rel	plur	0	0	2	2	1
98	SemRel	integ	rel	plur	0	0	1	1	2
99	SemRel	integ	rel	plur	0	0	1	1	3
100	SemRel	integ	rel	plur	1	1	3	3	4
101	SemRel	integ	rel	plur	0	0	1	1	5
102	SemRel	integ	rel	plur	0	0	0	0	6
103	SemRel	integ	rel	plur	0	0	1	1	7
104	SemRel	integ	rel	plur	0	0	0	0	8
105	SemRel	integ	rel	plur	0	0	1	1	1
106	SemRel	integ	rel	plur	0	0	0	0	2
107	SemRel	integ	rel	plur	0	0	2	2	3
108	SemRel	integ	rel	plur	0	0	1	1	4
109	SemRel	integ	rel	plur	0	0	2	2	5
110	SemRel	integ	rel	plur	0	0	1	1	6
111	SemRel	integ	rel	plur	0	0	0	0	7
113	SemRel	integ	rel	plur	0	0	1	1	1
114	SemRel	integ	rel	plur	1	1	3	3	2
115	SemRel	integ	rel	plur	0	0	0	1	3
116	SemRel	integ	rel	plur	0	0	0	0	4
117	SemRel	integ	rel	plur	0	1	1	2	5
118	SemRel	integ	rel	plur	0	1	0	1	6
119	SemRel	integ	rel	plur	0	2	0	2	7
120	SemRel	integ	rel	plur	0	0	1	1	8
122	SemRel	integ	rel	plur	1	1	2	3	2
123	SemRel	integ	rel	plur	0	0	0	0	3
124	SemRel	integ	rel	plur	0	0	2	3	4
125	SemRel	integ	rel	plur	0	0	1	2	5
126	SemRel	integ	rel	plur	0	0	0	0	6
127	SemRel	integ	rel	plur	0	0	2	2	7
128	SemRel	integ	rel	plur	1	1	1	1	8
129	SemRel	integ	rel	plur	0	0	0	0	1
130	SemRel	integ	rel	plur	0	0	3	3	2
131	SemRel	integ	rel	plur	0	0	1	1	3
132	SemRel	integ	rel	plur	0	0	2	2	4
133	SemRel	integ	rel	plur	1	1	1	1	5
134	SemRel	integ	rel	plur	0	0	1	1	6
135	SemRel	integ	rel	plur	1	1	2	2	7
136	SemRel	integ	rel	plur	0	0	3	3	8
137	SemRel	integ	rel	plur	1	1	3	3	1
139	SemRel	integ	rel	plur	0	0	1	2	3
140	SemRel	integ	rel	plur	0	0	0	0	4
141	SemRel	integ	rel	plur	0	0	2	2	5
142	SemRel	integ	rel	plur	0	0	2	2	6
143	SemRel	integ	rel	plur	0	0	2	2	7
144	SemRel	integ	rel	plur	0	0	1	1	4
145	SemRel	integ	rel	plur	0	0	1	1	1
146	SemRel	integ	rel	plur	0	0	3	3	2
147	SemRel	integ	rel	plur	0	0	1	1	3
148	SemRel	integ	rel	plur	0	0	1	1	4
149	SemRel	integ	rel	plur	2	2	2	3	5
150	SemRel	integ	rel	plur	0	0	1	1	6
151	SemRel	integ	rel	plur	0	0	3	3	7
152	SemRel	integ	rel	plur	0	0	1	2	8
153	SemRel	integ	rel	plur	0	0	2	2	1
154	SemRel	integ	rel	plur	1	1	2	2	2
155	SemRel	integ	rel	plur	0	0	2	2	3
156	SemRel	integ	rel	plur	0	0	2	2	4
159	SemRel	integ	rel	plur	0	0	1	1	7
160	SemRel	integ	rel	plur	0	0	0	0	8
161	SemRel	integ	rel	plur	0	0	2	2	1
162	SemRel	integ	rel	plur	1	1	3	3	2
163	SemRel	integ	rel	plur	0	0	3	3	3
164	SemRel	integ	rel	plur	0	0	1	1	4
165	SemRel	integ	rel	plur	0	0	3	3	5
166	SemRel	integ	rel	plur	0	0	0	0	6
167	SemRel	integ	rel	plur	0	0	1	1	7
168	SemRel	integ	rel	plur	0	0	0	0	8
169	SemRel	integ	rel	plur	0	0	0	0	1
170	SemRel	integ	rel	plur	0	0	2	2	2
171	SemRel	integ	rel	plur	0	0	2	2	3
172	SemRel	integ	rel	plur	0	0	2	2	4
173	SemRel	integ	rel	plur	0	0	0	0	5
174	SemRel	integ	rel	plur	0	0	2	2	6
175	SemRel	integ	rel	plur	0	0	1	1	7
176	SemRel	integ	rel	plur	0	0	2	2	8
