subject,text,exp,integrated,related.x,n2num.x,maincode,dysfluency,integ,len.char,len.phon,len.syll,lf.head,lf.prep,lf.adj,lf.noun,rel.hl,rel.lh,asso,plaus,animacy,LengthChar.Head,LengthChar.Prep,LengthChar.Adj,LengthChar.Noun,LengthPhon.Head,LengthPhon.Prep,LengthPhon.Adj,LengthPhon.Noun,LengthSylHead,LengthSyll.Prep,LengthSyll.Adj,LengthSyll.Noun,Freq1Mil.Head,FreqMil.Prep,FreqMil.Adj,FreqMil.N1,LogFr.Head,LogFreq.Prep,LogFreq.Adj,LogFreq.N1,RelatedHL,RelatedLH,Integrated,Ass..H.L,Ass..L.HP,Ass..L.HS,AssArc.H.L,AssArc.L.HP,AssArc.L.HS,Plausibility
1001,The dorm near the new cafes,Cat,unint,unrel,plur,C,,-0.594576536,-1.79400678,-1.836870859,-1.320015285,-0.30811859,-0.741949609,2.879903983,-1.290809724,-1.262757571,-1.231070039,0,5.88,I,4,4,3,5,4,3,2,5,1,1,1,2,6.84,59.14,555.43,0.31,0.89,1.78,2.75,0.12,2.08,2.17,3.08,0,0,0,0,0,0,5.88
1001,The drill by the durable hammer,Cat,unint,rel,sing,C,,-0.102136555,-0.590996925,-0.271546336,0.127160397,-0.02546386,0.652678003,-1.227353566,0.470576473,0.561061585,0.718385416,0,5,I,5,2,7,6,4,3,7,5,1,1,3,2,9.94,1212.84,0.35,10.18,1.04,3.08,0.13,1.05,5.17,5.42,3.67,0,0,0,0,0,0,5
1001,The fork near the plastic ladles,Cat,unint,rel,plur,C,,0.173295977,-0.290244461,0.041518569,-0.596427444,-0.119682103,-0.741949609,0.606803431,-1.36656827,0.165605651,-0.685222512,0,4.67,I,4,4,7,6,4,3,7,6,1,1,2,2,8.8,59.14,18.76,0.2,0.99,1.78,1.3,0.08,4.5,3.08,4,0,0,0,0,0,0,4.67
1001,The futon near the dirty recliner,Cat,unint,rel,sing,C,,0.031406491,0.010508003,0.667648378,0.850748237,-1.570643052,-0.741949609,1.359278097,-1.385507906,0.413503401,0.514442384,0,6,I,5,4,5,8,5,3,5,9,2,1,2,3,0.67,59.14,58.76,0.18,0.22,1.78,1.78,0.07,4.92,5.08,3.83,0,0,0,0,0,0,6
1001,The kayak beside the large flagpole,Cat,unint,unrel,sing,C,,-1.35410261,0.612012931,0.980713283,0.127160397,-1.646017647,-1.364168082,1.077100097,-1.082473722,-1.752650743,-1.932874004,0,4.17,I,5,6,5,8,5,6,5,7,2,2,1,2,0.51,14.96,38.49,0.71,0.18,1.2,1.6,0.23,1.25,1,2.17,0,0,0,0,0,0,4.17
1001,The knife beside the heavy clubs,Cat,unint,rel,plur,C,,-0.661348059,-0.290244461,-0.271546336,-0.596427444,1.180529656,-1.364168082,1.202512542,0.48951611,-1.014859822,-0.781195704,0,4.42,I,5,6,5,5,4,6,4,5,1,2,2,1,46.55,14.96,47.04,10.41,1.68,1.2,1.68,1.06,2.5,2.92,3,0,0,0,0,0,0,4.42
1001,The magazine under the tattered novels,Cat,unint,rel,plur,C,,0.173295977,1.514270322,1.293778188,1.574336078,0.897874925,-0.109003232,-1.290059788,-0.343827898,0.165605651,0.418469192,0,5.83,I,8,5,8,6,7,5,6,6,3,2,2,2,33.14,235.35,0.24,3.18,1.53,2.37,0.09,0.62,4.5,4.92,4,0,0,0,0,0,0,5.83
1001,The monk near the talkative cardinal,Cat,unint,rel,sing,C,,-0.244026041,0.912765395,0.667648378,0.850748237,-0.553086023,-0.741949609,-0.992205233,-0.362767534,0.413503401,0.814358608,0,4.35,A,4,4,9,8,4,3,7,8,1,1,3,3,4.76,59.14,0.9,3.06,0.76,1.78,0.28,0.61,4.92,5.58,3.5,0,0,0,0,0,0,4.35
1001,The rake beside the muddy grave,Cat,unint,unrel,sing,C,,-0.728119582,-0.590996925,-0.897676145,-0.596427444,-1.344519268,-1.364168082,-0.490555456,1.000886296,-1.605092558,-1.381028151,0,4.96,I,4,6,5,5,3,6,4,4,1,2,2,1,1.18,14.96,2.98,20.37,0.34,1.2,0.6,1.33,1.5,1.92,2.92,0,0,0,0,0,0,4.96
1001,The shovel near the cracked boulder,Cat,unint,unrel,sing,C,,-1.011898555,0.612012931,-0.271546336,-0.596427444,-0.383493185,-0.741949609,-0.882469344,-0.987775539,-1.557873939,-1.183083444,0,4.63,I,6,4,7,7,5,3,5,6,2,1,1,2,6.06,59.14,1.25,0.92,0.85,1.78,0.35,0.28,1.58,2.25,2.58,0,0,0,0,0,0,4.63
1001,The spatula by the greasy sandwiches,Cat,unint,unrel,plur,C,,-0.102136555,0.912765395,1.919907997,1.574336078,-1.551799403,0.652678003,-0.349466456,0.4326972,-0.867301638,-0.931153816,0,5.96,I,7,2,6,10,8,3,5,10,3,1,2,3,0.71,1212.84,3.88,9.61,0.23,3.08,0.69,1.03,2.75,2.67,3.67,0,0,0,0,0,0,5.96
