subj subexpt related semint n2num errnd errd errcornd errcord list
1 SemRel nullrelated integ plur 0 0 3 3 1
1 SemRel nullrelated integ sing 0 0 3 4 1
1 SemRel nullrelated unint plur 0 0 2 3 1
1 SemRel nullrelated unint sing 0 0 3 3 1
2 SemRel nullrelated integ plur 1 1 1 3 2
2 SemRel nullrelated integ sing 0 0 2 2 2
2 SemRel nullrelated unint plur 0 0 0 1 2
2 SemRel nullrelated unint sing 0 0 1 3 2
3 SemRel nullrelated integ plur 0 0 1 3 3
3 SemRel nullrelated integ sing 0 0 3 4 3
3 SemRel nullrelated unint plur 0 0 3 5 3
3 SemRel nullrelated unint sing 0 0 3 3 3
4 SemRel nullrelated integ plur 0 0 5 5 4
4 SemRel nullrelated integ sing 0 0 2 4 4
4 SemRel nullrelated unint plur 0 0 2 3 4
4 SemRel nullrelated unint sing 0 0 5 5 4
5 SemRel nullrelated integ plur 1 1 1 1 5
5 SemRel nullrelated integ sing 0 0 3 4 5
5 SemRel nullrelated unint plur 0 0 2 3 5
5 SemRel nullrelated unint sing 0 0 5 5 5
6 SemRel nullrelated integ plur 0 0 2 3 6
6 SemRel nullrelated integ sing 0 0 1 3 6
6 SemRel nullrelated unint plur 0 0 2 3 6
6 SemRel nullrelated unint sing 0 0 2 4 6
7 SemRel nullrelated integ plur 0 0 0 1 7
7 SemRel nullrelated integ sing 0 0 1 2 7
7 SemRel nullrelated unint plur 0 0 0 2 7
7 SemRel nullrelated unint sing 0 0 2 3 7
8 SemRel nullrelated integ plur 0 0 5 5 8
8 SemRel nullrelated integ sing 0 0 5 6 8
8 SemRel nullrelated unint plur 0 0 6 6 8
8 SemRel nullrelated unint sing 0 0 5 5 8
9 SemRel nullrelated integ plur 0 0 3 3 1
9 SemRel nullrelated integ sing 0 0 2 2 1
9 SemRel nullrelated unint plur 0 0 2 2 1
9 SemRel nullrelated unint sing 0 0 3 3 1
10 SemRel nullrelated integ plur 0 0 3 4 2
10 SemRel nullrelated integ sing 0 0 3 3 2
10 SemRel nullrelated unint plur 0 0 3 3 2
10 SemRel nullrelated unint sing 0 0 2 4 2
11 SemRel nullrelated integ plur 0 0 3 3 3
11 SemRel nullrelated integ sing 0 0 5 5 3
11 SemRel nullrelated unint plur 0 0 0 0 3
11 SemRel nullrelated unint sing 0 0 2 3 3
12 SemRel nullrelated integ plur 0 0 5 5 4
12 SemRel nullrelated integ sing 0 0 4 5 4
12 SemRel nullrelated unint plur 0 0 3 4 4
12 SemRel nullrelated unint sing 0 0 4 4 4
13 SemRel nullrelated integ plur 0 0 3 3 5
13 SemRel nullrelated integ sing 0 0 1 1 5
13 SemRel nullrelated unint plur 1 1 1 1 5
13 SemRel nullrelated unint sing 0 0 3 3 5
14 SemRel nullrelated integ plur 0 0 1 1 6
14 SemRel nullrelated integ sing 0 0 0 1 6
14 SemRel nullrelated unint plur 0 0 3 3 6
14 SemRel nullrelated unint sing 0 0 2 2 6
15 SemRel nullrelated integ plur 0 0 2 4 7
15 SemRel nullrelated integ sing 0 0 2 3 7
15 SemRel nullrelated unint plur 0 0 1 1 7
15 SemRel nullrelated unint sing 0 0 2 4 7
16 SemRel nullrelated integ plur 0 0 1 4 8
16 SemRel nullrelated integ sing 0 0 4 4 8
16 SemRel nullrelated unint plur 0 0 3 4 8
16 SemRel nullrelated unint sing 0 0 2 3 8
17 SemRel nullrelated integ plur 0 0 4 4 1
17 SemRel nullrelated integ sing 0 0 2 3 1
17 SemRel nullrelated unint plur 0 0 1 2 1
17 SemRel nullrelated unint sing 0 0 2 2 1
18 SemRel nullrelated integ plur 1 1 4 4 2
18 SemRel nullrelated integ sing 0 0 1 2 2
18 SemRel nullrelated unint plur 0 0 2 2 2
18 SemRel nullrelated unint sing 0 0 4 4 2
19 SemRel nullrelated integ plur 0 0 4 4 3
19 SemRel nullrelated integ sing 0 0 3 4 3
19 SemRel nullrelated unint plur 0 0 3 3 3
19 SemRel nullrelated unint sing 0 0 2 3 3
20 SemRel nullrelated integ plur 0 0 2 4 4
20 SemRel nullrelated integ sing 0 0 4 4 4
20 SemRel nullrelated unint plur 0 0 4 4 4
20 SemRel nullrelated unint sing 0 0 3 3 4
21 SemRel nullrelated integ plur 0 0 6 6 5
21 SemRel nullrelated integ sing 0 0 5 5 5
21 SemRel nullrelated unint plur 0 0 5 5 5
21 SemRel nullrelated unint sing 0 0 5 5 5
22 SemRel nullrelated integ plur 1 1 1 1 6
22 SemRel nullrelated integ sing 0 0 3 3 6
22 SemRel nullrelated unint plur 0 0 2 2 6
22 SemRel nullrelated unint sing 0 0 0 0 6
23 SemRel nullrelated integ plur 1 1 4 4 7
23 SemRel nullrelated integ sing 0 0 1 1 7
23 SemRel nullrelated unint plur 0 0 4 4 7
23 SemRel nullrelated unint sing 0 0 3 3 7
24 SemRel nullrelated integ plur 0 0 2 3 8
24 SemRel nullrelated integ sing 0 0 2 2 8
24 SemRel nullrelated unint plur 0 0 3 4 8
24 SemRel nullrelated unint sing 0 0 3 3 8
25 SemRel nullrelated integ plur 0 0 4 4 1
25 SemRel nullrelated integ sing 0 0 4 4 1
25 SemRel nullrelated unint plur 0 0 0 2 1
25 SemRel nullrelated unint sing 0 0 4 5 1
26 SemRel nullrelated integ plur 0 0 5 6 2
26 SemRel nullrelated integ sing 0 0 3 4 2
26 SemRel nullrelated unint plur 1 1 3 4 2
26 SemRel nullrelated unint sing 0 0 1 3 2
27 SemRel nullrelated integ plur 0 0 2 2 3
27 SemRel nullrelated integ sing 0 0 4 4 3
27 SemRel nullrelated unint plur 0 0 0 1 3
27 SemRel nullrelated unint sing 0 0 2 2 3
28 SemRel nullrelated integ plur 0 0 4 4 4
28 SemRel nullrelated integ sing 0 0 3 3 4
28 SemRel nullrelated unint plur 0 0 0 0 4
28 SemRel nullrelated unint sing 0 0 2 3 4
29 SemRel nullrelated integ plur 0 0 3 3 5
29 SemRel nullrelated integ sing 0 0 2 2 5
29 SemRel nullrelated unint plur 0 0 5 5 5
29 SemRel nullrelated unint sing 0 0 3 5 5
30 SemRel nullrelated integ plur 2 2 4 4 6
30 SemRel nullrelated integ sing 0 0 2 2 6
30 SemRel nullrelated unint plur 0 0 1 3 6
30 SemRel nullrelated unint sing 0 0 3 5 6
31 SemRel nullrelated integ plur 0 0 1 2 7
31 SemRel nullrelated integ sing 0 0 3 3 7
31 SemRel nullrelated unint plur 0 0 2 3 7
31 SemRel nullrelated unint sing 0 0 0 1 7
32 SemRel nullrelated integ plur 0 0 0 0 8
32 SemRel nullrelated integ sing 0 0 3 3 8
32 SemRel nullrelated unint plur 1 2 3 4 8
32 SemRel nullrelated unint sing 0 0 3 4 8
33 SemRel nullrelated integ plur 0 0 2 2 1
33 SemRel nullrelated integ sing 0 0 4 4 1
33 SemRel nullrelated unint plur 0 0 2 2 1
33 SemRel nullrelated unint sing 0 0 3 3 1
