subj subexpt semint related n2num errnd errd errcornd errcord list
1 SemRel nullinteg rel plur 0 0 2 2 1
1 SemRel nullinteg rel sing 0 0 3 4 1
1 SemRel nullinteg unrel plur 0 0 3 4 1
1 SemRel nullinteg unrel sing 0 0 3 3 1
2 SemRel nullinteg rel plur 1 1 1 3 2
2 SemRel nullinteg rel sing 0 0 1 2 2
2 SemRel nullinteg unrel plur 0 0 0 1 2
2 SemRel nullinteg unrel sing 0 0 2 3 2
3 SemRel nullinteg rel plur 0 0 2 3 3
3 SemRel nullinteg rel sing 0 0 3 3 3
3 SemRel nullinteg unrel plur 0 0 2 5 3
3 SemRel nullinteg unrel sing 0 0 3 4 3
4 SemRel nullinteg rel plur 0 0 2 3 4
4 SemRel nullinteg rel sing 0 0 4 5 4
4 SemRel nullinteg unrel plur 0 0 5 5 4
4 SemRel nullinteg unrel sing 0 0 3 4 4
5 SemRel nullinteg rel plur 1 1 2 3 5
5 SemRel nullinteg rel sing 0 0 3 4 5
5 SemRel nullinteg unrel plur 0 0 1 1 5
5 SemRel nullinteg unrel sing 0 0 5 5 5
6 SemRel nullinteg rel plur 0 0 1 2 6
6 SemRel nullinteg rel sing 0 0 2 5 6
6 SemRel nullinteg unrel plur 0 0 3 4 6
6 SemRel nullinteg unrel sing 0 0 1 2 6
7 SemRel nullinteg rel plur 0 0 0 1 7
7 SemRel nullinteg rel sing 0 0 2 2 7
7 SemRel nullinteg unrel plur 0 0 0 2 7
7 SemRel nullinteg unrel sing 0 0 1 3 7
8 SemRel nullinteg rel plur 0 0 6 6 8
8 SemRel nullinteg rel sing 0 0 6 6 8
8 SemRel nullinteg unrel plur 0 0 5 5 8
8 SemRel nullinteg unrel sing 0 0 4 5 8
9 SemRel nullinteg rel plur 0 0 2 2 1
9 SemRel nullinteg rel sing 0 0 4 4 1
9 SemRel nullinteg unrel plur 0 0 3 3 1
9 SemRel nullinteg unrel sing 0 0 1 1 1
10 SemRel nullinteg rel plur 0 0 3 4 2
10 SemRel nullinteg rel sing 0 0 3 3 2
10 SemRel nullinteg unrel plur 0 0 3 3 2
10 SemRel nullinteg unrel sing 0 0 2 4 2
11 SemRel nullinteg rel plur 0 0 1 1 3
11 SemRel nullinteg rel sing 0 0 2 2 3
11 SemRel nullinteg unrel plur 0 0 2 2 3
11 SemRel nullinteg unrel sing 0 0 5 6 3
12 SemRel nullinteg rel plur 0 0 4 5 4
12 SemRel nullinteg rel sing 0 0 4 4 4
